행정구역명,학원/교습소,분야명,교습계열명,교습과정목록명,교습과정명,정원합계,일시수용능력인원합계,등록상태명
동대문구,학원,직업기술,산업응용기술,이?미용/,이?미용,40,20,개원
동대문구,학원,종합(대),,전산회계/컴퓨터(정보처리/통신기기/인터넷/소프트웨어)/,,404,129,개원
동대문구,학원,직업기술,산업기반기술,전자/,전자,30,91,개원
동대문구,학원,예능(대),예능(중),음악/,음악,98,45,개원
동대문구,학원,직업기술,산업기반기술,,자동차,210,177,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습/,보습,30,152,개원
중랑구,학원,입시.검정 및 보습,보통교과,,보습?논술,405,110,개원
중랑구,학원,예능(대),예능(중),,음악,117,9,개원
동대문구,학원,입시.검정 및 보습,보통교과,,보습,140,71,개원
동대문구,학원,입시.검정 및 보습,보통교과,,보습?논술,180,68,개원
동대문구,학원,입시.검정 및 보습,보통교과,,보습,114,130,개원
중랑구,학원,입시.검정 및 보습,보통교과,,보습,210,105,개원
동대문구,학원,예능(대),예능(중),,음악,35,41,개원
동대문구,학원,예능(대),예능(중),음악/,음악,441,49,개원
중랑구,학원,예능(대),예능(중),음악/,음악,90,32,개원
동대문구,학원,예능(대),예능(중),음악/,음악,460,39,개원
동대문구,학원,예능(대),예능(중),미술/,미술,20,33,개원
동대문구,학원,예능(대),예능(중),,음악,180,55,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습/,보습,80,184,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습/,보습,90,92,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습/,보습,90,115,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습/,보습,84,61,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습/,보습,50,134,개원
동대문구,학원,직업기술,산업기반기술,건축/,건축,1760,175,개원
동대문구,학원,기타(대),기타(중),컴퓨터(소)/,컴퓨터(소),57,40,개원
동대문구,학원,종합(대),,보습/실용외국어(유아/초?중?고)/,,815,771,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습/,보습,132,144,개원
중랑구,학원,예능(대),예능(중),음악/,음악,45,9,개원
동대문구,학원,국제화,외국어,실용외국어(유아/초?중?고)/,실용외국어(유아/초?중?고),60,178,개원
중랑구,학원,예능(대),예능(중),음악/,음악,45,40,개원
중랑구,학원,예능(대),예능(중),,음악,50,56,개원
중랑구,학원,예능(대),예능(중),음악/,음악,56,57,개원
중랑구,학원,입시.검정 및 보습,보통교과,,보습?논술,80,115,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습/,보습,580,132,개원
중랑구,학원,예능(대),예능(중),음악/,음악,150,50,개원
중랑구,학원,종합(대),,보습/미술/,,204,129,개원
동대문구,학원,예능(대),예능(중),음악/,음악,60,45,개원
중랑구,학원,예능(대),예능(중),음악/,음악,110,59,개원
중랑구,학원,입시.검정 및 보습,보통교과,,보습,60,80,개원
중랑구,학원,입시.검정 및 보습,보통교과,,보습,208,109,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습/,보습,40,70,개원
중랑구,학원,입시.검정 및 보습,보통교과,,보습,200,178,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습/,보습,72,75,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습/,보습,130,76,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습/,보습,130,116,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습/,보습,72,79,개원
동대문구,학원,예능(대),예능(중),미술/,미술,15,72,개원
중랑구,학원,독서실,독서실,독서실(유아/초?중?고)/,독서실(유아/초?중?고),171,90,개원
동대문구,학원,예능(대),예능(중),,음악,160,38,개원
동대문구,학원,예능(대),예능(중),,음악,13,57,개원
중랑구,학원,종합(대),,보습/진학상담지도/,,235,161,개원
동대문구,학원,예능(대),예능(중),음악/,음악,380,51,개원
중랑구,학원,예능(대),예능(중),,음악,20,56,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습?논술/,보습?논술,240,74,개원
중랑구,학원,예능(대),예능(중),음악/,음악,127,47,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습?논술/,보습?논술,340,110,개원
중랑구,학원,종합(대),,음악/미술/,,300,85,개원
동대문구,학원,국제화,외국어,실용외국어(유아/초?중?고)/,실용외국어(유아/초?중?고),516,157,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습/,보습,250,171,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습/,보습,60,84,개원
중랑구,학원,종합(대),,보습/실용외국어(유아/초?중?고)/독서실(유아/초?중?고)/,,170,124,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습/,보습,342,284,개원
중랑구,학원,입시.검정 및 보습,보통교과,보습/,보습,188,108,개원
중랑구,학원,종합(대),,보습/미술/,,121,142,개원
중랑구,학원,예능(대),예능(중),음악/,음악,1130,40,개원
동대문구,학원,입시.검정 및 보습,보통교과,보습?논술/,보습?논술,160,178,개원
중랑구,학원,예능(대),예능(중),음악/,음악,40,71,개원
동대문구,학원,종합(대),,전산회계/컴퓨터(정보처리/통신기기/인터넷/소프트웨어)/,,240,139,개원
동대문구,학원,예능(대),예능(중),음악/,음악,72,45,개원
동대문구,학원,예능(대),예능(중),음악/,음악,110,39,개원
동대문구,학원,예능(대),예능(중),음악/,음악,210,42,개원
동대문구,학원,입시.검정 및 보습,보통교과,,보습?논술,56,33,개원
