동별(1),동별(2),2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02
동별(1),동별(2),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
동별(1),동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
합계,소계,4446296,9667669,4675560,4992109,9428372,4570048,4858324,239297,105512,133785,4447861,9663777,4672937,4990840,9424873,4567739,4857134,238904,105198,133706,4457982,9664666,4672790,4991876,9427583,4567957,4859626,237083,104833,132250
합계,종로구,72524,152211,72980,79231,141379,68395,72984,10832,4585,6247,72479,151998,72906,79092,141223,68314,72909,10775,4592,6183,72773,152167,72977,79190,141433,68399,73034,10734,4578,6156
합계,중구,63139,130785,63377,67408,120437,58563,61874,10348,4814,5534,63123,130693,63262,67431,120317,58443,61874,10376,4819,5557,63492,130862,63390,67472,120555,58557,61998,10307,4833,5474
합계,용산구,109805,233284,113012,120272,218650,105087,113563,14634,7925,6709,109734,233040,112910,120130,218412,104974,113438,14628,7936,6692,109778,232804,112817,119987,218175,104860,113315,14629,7957,6672
합계,성동구,133305,288234,139691,148543,281000,136633,144367,7234,3058,4176,133293,287893,139477,148416,280707,136442,144265,7186,3035,4151,133517,287447,139319,148128,280474,136361,144113,6973,2958,4015
합계,광진구,169291,351252,168197,183055,337416,162541,174875,13836,5656,8180,169416,351183,168134,183049,337258,162460,174798,13925,5674,8251,169648,350820,168004,182816,337071,162329,174742,13749,5675,8074
합계,동대문구,169873,353601,171903,181698,336644,165755,170889,16957,6148,10809,169716,353218,171757,181461,336415,165657,170758,16803,6100,10703,170766,353869,172033,181836,337293,165962,171331,16576,6071,10505
합계,중랑구,187413,390140,191422,198718,385318,189537,195781,4822,1885,2937,187489,389953,191273,198680,385097,189367,195730,4856,1906,2950,187776,390018,191231,198787,385129,189306,195823,4889,1925,2964
