"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3080000","3080000-114-2006-00001","2006-05-25","","03","폐업","02","폐업","2023-02-28","","","","9081002","309.00","142-868","서울특별시 강북구 번동 463-1","서울특별시 강북구 도봉로96길 12 (번동)","01056","S-마트 번1동점","2023-02-28 11:07:55","U","2022-12-03 00:03:00.0","기타식품판매업","202520.512673258","459784.511652615","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-114-1990-00134","1990-09-18","","01","영업/정상","01","영업","","","","","02 34494029","845.00","135-906","서울특별시 강남구 압구정동 494","서울특별시 강남구 압구정로 343 (압구정동)","06008","한화갤러리아 명품관","2023-03-16 15:12:39","U","2022-12-02 23:08:00.0","기타식품판매업","203470.848439305","447369.579851952","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-114-2023-00001","2023-03-21","","01","영업/정상","01","영업","","","","","","444.00","138-888","서울특별시 송파구 문정동 618 파크하비오","서울특별시 송파구 송파대로 111, 하비오길동 1층 호텔로 202동 137~144호 (문정동, 파크하비오)","05837","지에스더프레시 송파하비오점","2023-03-21 10:25:51","I","2022-12-02 22:03:00.0","기타식품판매업","210868.397496689","442053.227933005","","","","","","","","","","","","","","","","","","",""
"3140000","3140000-114-2016-00004","2016-12-20","","01","영업/정상","01","영업","","","","","0215226333","1292.00","158-831","서울특별시 양천구 신월동 217-21","서울특별시 양천구 곰달래로2길 46, 1,2층 (신월동)","07927","식자재왕 도매마트","2023-03-21 11:10:15","U","2022-12-02 22:03:00.0","기타식품판매업","185458.613850038","447142.654718551","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-114-2011-00004","2011-07-08","","01","영업/정상","01","영업","","","","","02  30107726","618.80","138-736","서울특별시 송파구 풍납동 388-1 서울아산병원 동관 지하1층","서울특별시 송파구 올림픽로43길 88 (풍납동,서울아산병원 동관 지하1층)","05505","현대그린푸드 H마트 서울아산병원점","2023-03-21 13:18:24","U","2022-12-02 22:03:00.0","기타식품판매업","209607.590372037","447120.577229325","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-114-2003-00005","2003-07-21","","01","영업/정상","01","영업","","","","","02 26432211","1225.10","157-900","서울특별시 강서구 화곡동 830-1","서울특별시 강서구 등촌로5길 80 (화곡동)","07738","롯데슈퍼 화곡2점","2023-03-21 17:15:15","U","2022-12-02 22:03:00.0","기타식품판매업","187464.403178638","447877.710664426","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-114-1994-00002","1994-08-04","","01","영업/정상","01","영업","","","","","02 5437642","","135-510","서울특별시 강남구 압구정동 456 금강쇼핑센타 지하1층","서울특별시 강남구 압구정로 201 (압구정동,금강쇼핑센타 지하1층)","06004","(주)현대그린푸드 압구정슈퍼","2023-03-21 16:25:55","U","2022-12-02 22:03:00.0","기타식품판매업","202485.226490575","447521.520319158","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-114-2023-00002","2023-03-23","","01","영업/정상","01","영업","","","","","","1091.78","157-909","서울특별시 강서구 화곡동 900-1 해태드림타운 1층 110,111,112,113호","서울특별시 강서구 강서로7길 28, 1층 110,111,112,113호 (화곡동, 해태드림타운)","07777","(주)행복한식자재마트","2023-03-23 14:05:23","I","2022-12-02 22:05:00.0","기타식품판매업","186332.679945287","447538.027901623","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-114-2004-00004","2004-10-18","","01","영업/정상","01","영업","","","","","02 4065304","537.00","138-818","서울특별시 송파구 마천동 125","서울특별시 송파구 마천로43길 3 (마천동)","05755","송파농협하나로마트","2023-03-23 16:45:27","U","2022-12-02 22:05:00.0","기타식품판매업","213008.255811513","443940.299052993","","","","","","","","","","","","","","","","","","",""
"3140000","3140000-114-2015-00001","2015-01-19","","01","영업/정상","01","영업","","","","","0226033700","800.00","158-842","서울특별시 양천구 신월동 575-17 지상1층","서울특별시 양천구 남부순환로79길 37, 지상1층 (신월동)","08064","농민마트","2023-03-29 10:16:58","U","2022-12-04 00:01:00.0","기타식품판매업","186065.684789257","446251.76410763","","","","","","","","","","","","","","","","","","",""
