"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","적재일시"
"초등학교","공립","7134150","서울숭신초등학교","Seoul Soongshin Elementary School","서울특별시성동광진교육지원청","04702","서울특별시 성동구 마장로 161","(하왕십리동)","02-2252-5950","http://soongshin.sen.es.kr","02-2236-6134","남여공학","","N","일반계","","전기","주간","19590403","19590403","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","사립","7134118","한양초등학교","Hanyang Elementary School","서울특별시성동광진교육지원청","04763","서울특별시 성동구 살곶이길 208","/ 한양초등학교 (사근동)","02-2293-8732","http://www.hye.or.kr","02-2299-3492","남여공학","","N","일반계","","전기","주간","19660220","19660515","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","사립","7134117","세종초등학교","Sejong Elementary School","서울특별시성동광진교육지원청","05006","서울특별시 광진구 군자로 114","/ 세종초등학교 (군자동)","02-466-0045","http://sje.sejong.ac.kr","02-499-3513","남여공학","","N","일반계","","전기","주간","19621004","19621004","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","사립","7134116","성동초등학교","Sungdong Elementary School","서울특별시성동광진교육지원청","05114","서울특별시 광진구 자양로4길 63","(자양동)","02-447-2642","http://www.sungdong.es.kr","02-454-4322","남여공학","","N","일반계","","전기","주간","19661216","19670320","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","공립","7134114","서울행현초등학교","Seoul Haenghyun Elementary School","서울특별시성동광진교육지원청","04713","서울특별시 성동구 행당로 95","(행당동)","02-2294-7693","http://www.haenghyun.es.kr","02-2294-3030","남여공학","","N","해당없음","","전기","주간","20050714","20050901","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","공립","7134113","서울행당초등학교","Seoul Haengdang Elementary School","서울특별시성동광진교육지원청","04746","서울특별시 성동구 고산자로8길 6","/ 서울행당초등학교 (행당동)","02-2292-9434","http://hd.es.kr","02-2296-7922","남여공학","","N","일반계","","전기","주간","19621026","19621026","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","공립","7134112","서울중마초등학교","Seoul Jungma Elementary School","서울특별시성동광진교육지원청","04907","서울특별시 광진구 동일로72길 43","(중곡동)","02-466-1007","http://www.jungma.es.kr","02-467-9296","남여공학","","N","일반계","","전기","주간","19821110","19821110","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","공립","7134111","서울중광초등학교","Seoul Junggwang Elementary School","서울특별시성동광진교육지원청","04908","서울특별시 광진구 긴고랑로13길 59","(중곡동/중광초등학교)","02-469-3340","www.jkschool.net","02-465-0936","남여공학","","N","일반계","","전기","주간","19980901","19980901","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","공립","7134110","서울장안초등학교","Seoul Jang-an Elementary School","서울특별시성동광진교육지원청","05004","서울특별시 광진구 군자로 74","(군자동)","02-469-5264","http://jangan.sen.es.kr","02-469-5266","남여공학","","N","일반계","","전기","주간","19550319","19550319","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","공립","7134109","서울자양초등학교","Seoul jayang Elementary School","서울특별시성동광진교육지원청","05054","서울특별시 광진구 아차산로44길 26","(자양동)","02-457-1468","http://jayang.sen.es.kr/","02-458-4393","남여공학","","N","일반계","","전기","주간","19451210","19451210","B10","서울특별시교육청","서울특별시","20230326"
"초등학교","공립","7134108","서울응봉초등학교","Seoul Eungbong Elementary School","서울특별시성동광진교육지원청","04742","서울특별시 성동구 독서당로62길 28","(응봉동/ 응봉초등학교)","02-2281-0816","http://eb.sen.es.kr","02-2281-0833","남여공학","","N","일반계","","전기","주간","20020712","20021024","B10","서울특별시교육청","서울특별시","20230326"
